review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-10-09,MSFT,hold,91.1,0.0,high,4.57,4.57,0.0,520.24,-1.69,3.67,-5.83
2025-10-16,META,hold,79.9,0.0,high,5.0,5.0,0.0,711.49,2.98,-10.69,-8.99
2025-10-16,AMD,hold,88.5,0.0,high,10.95,10.95,0.0,234.56,1.48,9.28,-11.5
2025-10-16,MSFT,hold,91.1,0.0,high,4.49,4.49,0.0,509.49,1.18,-0.87,-7.02
2025-10-23,META,hold,79.9,0.0,high,4.86,4.86,0.0,733.4,2.38,-17.03,-9.8
2025-10-23,AMD,hold,88.5,0.0,high,11.05,11.05,0.0,234.99,9.8,10.17,-8.53
2025-10-23,MSFT,hold,91.1,0.0,high,4.41,4.41,0.0,518.4,4.13,-1.81,-6.67
2025-10-30,META,hold,90.9,0.0,high,4.99,4.99,0.0,665.93,-5.87,-11.43,-1.09
2025-10-30,AMD,hold,91.5,0.0,high,11.04,11.04,0.0,254.84,-1.88,-12.28,-15.39
2025-10-30,MSFT,hold,91.7,0.0,high,4.47,4.47,0.0,523.58,-2.17,-7.35,-7.18
2025-11-06,META,hold,92.6,0.0,high,4.51,4.51,0.0,618.44,1.32,2.37,6.53
2025-11-06,AMD,hold,95.2,0.0,high,11.91,11.91,0.0,237.7,-0.08,-9.87,-6.99
2025-11-06,MSFT,hold,91.7,0.0,high,4.49,4.49,0.0,495.04,2.33,-2.15,-4.7
2025-11-13,AMD,add,95.2,55.0,high,11.26,10.34,-0.92,247.96,-7.13,-12.24,-16.24
2025-11-13,META,hold,92.6,0.0,high,4.25,4.25,0.0,609.39,-2.0,4.87,5.35
2025-11-13,MSFT,hold,91.7,0.0,high,4.31,4.31,0.0,501.21,-1.89,-4.9,-5.01
2025-11-20,META,trim,92.6,75.0,high,4.31,2.27,-2.04,588.67,7.99,10.35,5.36
2025-11-20,AMD,hold,95.2,0.0,high,10.34,10.34,0.0,206.02,0.05,7.48,12.53
2025-11-20,MSFT,hold,91.7,0.0,high,4.49,4.49,0.0,477.34,-0.3,0.03,-3.88
2025-11-27,NVDA,initiate,79.4,79.4,high,0.0,5.41,5.41,180.24,0.67,-5.16,3.45
2025-11-27,META,hold,92.6,0.0,high,2.27,2.27,0.0,633.09,2.13,2.59,6.2
2025-11-27,AMD,hold,95.2,0.0,high,8.78,8.78,0.0,214.24,0.47,-7.53,17.3
2025-11-27,MSFT,hold,91.7,0.0,high,4.37,4.37,0.0,484.39,0.93,-1.93,-3.13
2025-12-04,META,hold,92.6,0.0,high,2.43,2.43,0.0,660.99,-0.69,0.99,6.87
2025-12-04,AMD,hold,95.2,0.0,high,9.07,9.07,0.0,215.98,2.61,-0.44,14.02
2025-12-04,MSFT,hold,91.7,0.0,high,4.4,4.4,0.0,479.75,2.33,1.49,-11.95
2025-12-04,NVDA,hold,79.4,0.0,high,5.41,5.41,0.0,183.37,0.87,2.85,1.22
2025-12-11,META,hold,92.6,0.0,high,2.53,2.53,0.0,652.18,0.76,1.21,3.84
2025-12-11,AMD,hold,95.2,0.0,high,9.12,9.12,0.0,221.43,-5.54,-3.28,-2.45
2025-12-11,MSFT,hold,96.7,0.0,high,4.35,4.35,0.0,482.37,-1.46,0.03,-14.45
2025-12-11,NVDA,hold,79.4,0.0,high,5.49,5.49,0.0,180.92,-1.77,3.08,5.04
2025-12-18,META,add,92.6,40.0,high,2.49,3.84,1.34,664.45,0.07,-2.37,-3.71
2025-12-18,AMD,hold,95.1,0.0,high,9.34,9.34,0.0,201.06,6.88,4.46,3.11
2025-12-18,MSFT,hold,96.7,0.0,high,4.37,4.37,0.0,482.88,0.59,-0.11,-17.08
2025-12-18,NVDA,hold,79.4,0.0,high,5.41,5.41,0.0,174.13,8.65,8.6,4.98
2025-12-25,NVDA,add,79.4,55.0,high,5.26,7.61,2.36,188.6,-0.57,-2.9,1.56
2025-12-25,META,hold,87.9,0.0,high,3.84,3.84,0.0,667.55,-0.24,-7.79,-4.54
2025-12-25,AMD,hold,95.1,0.0,high,8.56,8.56,0.0,215.04,0.14,3.98,-8.58
2025-12-25,MSFT,hold,96.7,0.0,high,4.42,4.42,0.0,486.91,-0.11,-5.87,-21.04
2026-01-01,AAPL,initiate,94.9,94.9,high,0.0,7.05,7.05,271.61,-3.49,-8.91,-2.73
2026-01-01,NVDA,add,79.4,55.0,high,7.61,9.53,1.91,186.49,0.4,-1.71,-4.99
2026-01-01,META,hold,87.9,0.0,high,3.81,3.81,0.0,660.09,0.08,-7.14,-1.8
2026-01-01,AMD,hold,95.1,0.0,high,9.06,9.06,0.0,214.16,0.09,16.64,-6.51
2026-01-01,MSFT,hold,96.7,0.0,high,4.41,4.41,0.0,482.52,-1.06,-8.17,-18.61
2026-01-08,NVDA,add,79.4,55.0,high,9.53,10.0,0.47,185.03,0.42,3.5,
2026-01-08,AMD,hold,95.1,0.0,high,9.04,9.04,0.0,204.68,7.96,23.48,
2026-01-08,META,hold,87.9,0.0,high,3.78,3.78,0.0,646.06,-2.32,3.51,
2026-01-08,AAPL,hold,95.3,0.0,high,7.05,7.05,0.0,258.8,0.78,-1.0,
2026-01-08,MSFT,hold,96.7,0.0,high,4.38,4.38,0.0,477.02,-1.56,0.74,
2026-01-15,NVDA,add,79.4,55.0,high,10.0,10.01,0.01,187.04,-4.8,-6.88,
2026-01-15,AMD,hold,95.1,0.0,high,8.73,8.73,0.0,227.92,1.76,-12.17,
